experiment,best_val_acc,best_val_loss,final_train_acc,final_train_loss,epochs_ran,hidden_dims,lr,batch_size,epochs
E1_Base,0.9789166666666667,0.08870676366550227,0.9932708333333333,0.020369022064910192,15,"[256, 128, 64]",0.001,64,15
E2_Dropout,0.9763333333333334,0.0922800126032283,0.9774375,0.07655911533565571,15,"[256, 128, 64]",0.001,64,15,0.3
E3_BatchNorm,0.9815833333333334,0.07048810196140161,0.9950833333333333,0.014223642048644252,15,"[256, 128, 64]",0.001,64,15,True
E4_EarlyStopping,0.9810833333333333,0.06925914173418035,0.9945208333333333,0.01652487096518356,13,"[256, 128, 64]",0.001,64,15,True
O1_LR_High,0.9646666666666667,0.14775659080594777,0.919125,0.30745222308735054,5,0.1,Adam
O2_LR_Low,0.8776666666666667,0.8656063307126363,0.7978125,1.0655089646180471,5,1e-05,Adam
O3_SGD_WD,0.9793333333333333,0.0736574851255864,0.9699166666666666,0.09869140737627943,10,0.01,SGD,0.9,0.0001
E1_Base,KMNIST,42,256-128-64 / ReLU,Adam,0.001,0,0,15,0.9776666666666667,0.0866495119376729
E2_Dropout,KMNIST,42,256-128-64 / ReLU,Adam,0.001,0,0,15,0.9768333333333333,0.08345120978790024
E3_BatchNorm,KMNIST,42,256-128-64 / ReLU,Adam,0.001,0,0,15,0.98075,0.06968843822988371
E4,KMNIST,42,E3 (BatchNorm) + EarlyStopping,Adam,0.001,0,0,7,0.9785,0.07275117408794661
O1_LR_High,KMNIST,42,256-128-64,Adam,0.1,0,0,5,0.9591666666666666,0.15886350930730503
O2_LR_Low,KMNIST,42,256-128-64,Adam,1e-05,0,0,5,0.8780833333333333,0.8770745215415955
O3_SGD_WD,KMNIST,42,256-128-64,SGD,0.01,0.9,0.0001,10,0.9775833333333334,0.07457997098378837
